Date,SP500,NASDAQ,DJIA
5/27/93,452.4100037,704.5900269,3554.830078
5/28/93,450.1900024,700.5300293,3527.429932
6/1/93,453.8299866,704.2800293,3552.340088
6/2/93,453.8500061,705.8599854,3553.449951
6/3/93,452.4899902,706.2199707,3544.870117
6/4/93,450.0599976,702.0100098,3545.139893
6/7/93,447.6900024,694.6099854,3532.129883
6/8/93,444.7099915,687.7399902,3510.540039
6/9/93,445.7799988,689.2399902,3511.929932
6/10/93,445.3800049,688.0499878,3491.719971
6/11/93,447.2600098,693.1900024,3505.01001
6/14/93,447.7099915,696.4099731,3514.689941
6/15/93,446.269989,697.3400269,3492
6/16/93,447.4299927,696.25,3511.649902
6/17/93,448.5400085,695.9400024,3521.889893
6/18/93,443.6799927,689.5900269,3494.77002
6/21/93,446.2200012,688.7399902,3510.820068
6/22/93,445.9299927,686.7700195,3497.530029
6/23/93,443.1900024,684.789978,3466.810059
6/24/93,446.6199951,688.7199707,3490.610107
6/25/93,447.6000061,694.8099976,3490.889893
6/28/93,451.8500061,702.8400269,3530.199951
6/29/93,450.6900024,701.0700073,3518.850098
6/30/93,450.5299988,703.9500122,3516.080078
7/1/93,449.019989,703.5900269,3510.540039
7/2/93,445.8399963,704.4899902,3483.969971
7/6/93,441.4299927,702.2199707,3449.929932
7/7/93,442.8299866,698.789978,3475.669922
7/8/93,448.6400146,702.710022,3514.419922
7/9/93,448.1099854,705.8099976,3521.060059
7/12/93,448.980011,707.6699829,3524.379883
7/13/93,448.0899963,708.4699707,3515.439941
7/14/93,450.0799866,712.4899902,3542.550049
7/15/93,449.2200012,708.6900024,3550.929932
7/16/93,445.75,699.7299805,3528.290039
7/19/93,446.0299988,695.8300171,3535.280029
7/20/93,447.3099976,701.9000244,3544.780029
7/21/93,447.1799927,700.0800171,3555.399902
7/22/93,444.5100098,695.5200195,3525.219971
7/23/93,447.1000061,700.2399902,3546.73999
7/26/93,449.0899963,704.539978,3567.699951
7/27/93,448.2399902,701,3565.459961
7/28/93,447.1900024,705.5900269,3553.449951
7/29/93,450.2399902,707.2399902,3567.419922
7/30/93,448.1300049,704.7000122,3539.469971
8/2/93,450.1499939,707.6599731,3560.98999
8/3/93,449.269989,709.0100098,3561.27002
8/4/93,448.5400085,713.789978,3552.050049
